"","Actual Class","Predicted Class","Posterior Probability"
"144"," <=50K"," <=50K","0.807321772639692"
"145"," <=50K"," <=50K","0.807321772639692"
"146"," <=50K"," <=50K","0.807321772639692"
"147"," <=50K"," <=50K","0.807321772639692"
"148"," <=50K"," <=50K","0.809248554913295"
"149"," <=50K"," <=50K","0.807321772639692"
"150"," <=50K"," <=50K","0.807321772639692"
"151"," <=50K"," <=50K","0.807321772639692"
"152"," >50K"," <=50K","0.807321772639692"
"153"," >50K"," <=50K","0.807321772639692"
"154"," <=50K"," <=50K","0.809248554913295"
"155"," <=50K"," <=50K","0.809248554913295"
"156"," <=50K"," <=50K","0.807321772639692"
"157"," >50K"," <=50K","0.807321772639692"
"158"," >50K"," <=50K","0.807321772639692"
"159"," <=50K"," <=50K","0.809248554913295"
"160"," <=50K"," <=50K","0.809248554913295"
"161"," <=50K"," <=50K","0.807321772639692"
"162"," <=50K"," <=50K","0.807321772639692"
"163"," <=50K"," <=50K","0.807321772639692"
"164"," >50K"," <=50K","0.807321772639692"
"165"," >50K"," <=50K","0.807321772639692"
"166"," <=50K"," <=50K","0.807321772639692"
"167"," <=50K"," <=50K","0.807321772639692"
"168"," <=50K"," <=50K","0.807321772639692"
"169"," <=50K"," <=50K","0.809248554913295"
"170"," >50K"," <=50K","0.807321772639692"
"171"," <=50K"," <=50K","0.807321772639692"
"172"," <=50K"," <=50K","0.809248554913295"
"173"," <=50K"," <=50K","0.807321772639692"
"174"," <=50K"," <=50K","0.809248554913295"
"175"," <=50K"," <=50K","0.807321772639692"
"176"," <=50K"," <=50K","0.807321772639692"
"177"," >50K"," <=50K","0.807321772639692"
"178"," <=50K"," <=50K","0.807321772639692"
"179"," >50K"," <=50K","0.809248554913295"
"180"," >50K"," <=50K","0.807321772639692"
"181"," <=50K"," <=50K","0.807321772639692"
"182"," >50K"," <=50K","0.807321772639692"
"183"," <=50K"," <=50K","0.809248554913295"
"184"," <=50K"," <=50K","0.807321772639692"
"185"," <=50K"," <=50K","0.807321772639692"
"186"," >50K"," <=50K","0.807321772639692"
"187"," <=50K"," <=50K","0.807321772639692"
"188"," <=50K"," <=50K","0.809248554913295"
"189"," <=50K"," <=50K","0.809248554913295"
"190"," <=50K"," <=50K","0.807321772639692"
"191"," >50K"," <=50K","0.807321772639692"
"192"," <=50K"," <=50K","0.807321772639692"
"193"," <=50K"," <=50K","0.807321772639692"
"194"," <=50K"," <=50K","0.807321772639692"
"195"," <=50K"," <=50K","0.807321772639692"
"196"," <=50K"," <=50K","0.807321772639692"
"197"," <=50K"," <=50K","0.809248554913295"
"198"," <=50K"," <=50K","0.807321772639692"
"199"," <=50K"," <=50K","0.807321772639692"
"200"," <=50K"," <=50K","0.809248554913295"
"201"," <=50K"," <=50K","0.807321772639692"
"202"," <=50K"," <=50K","0.809248554913295"
"203"," <=50K"," <=50K","0.807321772639692"
"204"," <=50K"," <=50K","0.809248554913295"
"205"," <=50K"," <=50K","0.809248554913295"
"206"," <=50K"," <=50K","0.807321772639692"
"207"," <=50K"," <=50K","0.809248554913295"
"208"," <=50K"," <=50K","0.807321772639692"
"209"," <=50K"," <=50K","0.809248554913295"
"210"," <=50K"," <=50K","0.807321772639692"
"211"," <=50K"," <=50K","0.809248554913295"
"212"," <=50K"," <=50K","0.809248554913295"
"213"," >50K"," <=50K","0.807321772639692"
"214"," <=50K"," <=50K","0.807321772639692"
"215"," >50K"," <=50K","0.809248554913295"
"216"," <=50K"," <=50K","0.809248554913295"
"217"," <=50K"," <=50K","0.809248554913295"
"218"," <=50K"," <=50K","0.809248554913295"
"219"," <=50K"," <=50K","0.807321772639692"
"220"," <=50K"," <=50K","0.807321772639692"
"221"," >50K"," <=50K","0.807321772639692"
"222"," <=50K"," <=50K","0.807321772639692"
"223"," <=50K"," <=50K","0.807321772639692"
"224"," >50K"," <=50K","0.807321772639692"
"225"," <=50K"," <=50K","0.807321772639692"
"226"," >50K"," <=50K","0.807321772639692"
"227"," <=50K"," <=50K","0.807321772639692"
"228"," <=50K"," <=50K","0.807321772639692"
"229"," <=50K"," <=50K","0.807321772639692"
"230"," <=50K"," <=50K","0.807321772639692"
"231"," <=50K"," <=50K","0.809248554913295"
"232"," <=50K"," <=50K","0.807321772639692"
"233"," >50K"," <=50K","0.807321772639692"
"234"," <=50K"," <=50K","0.807321772639692"
"235"," <=50K"," <=50K","0.807321772639692"
"236"," >50K"," <=50K","0.809248554913295"
"237"," <=50K"," <=50K","0.807321772639692"
"238"," >50K"," <=50K","0.807321772639692"
"239"," <=50K"," <=50K","0.807321772639692"
"240"," <=50K"," <=50K","0.807321772639692"
"241"," <=50K"," <=50K","0.807321772639692"
"242"," >50K"," <=50K","0.809248554913295"
"243"," <=50K"," <=50K","0.809248554913295"
"244"," <=50K"," <=50K","0.807321772639692"
"245"," <=50K"," <=50K","0.809248554913295"
"246"," >50K"," <=50K","0.809248554913295"
"247"," <=50K"," <=50K","0.807321772639692"
"248"," <=50K"," <=50K","0.807321772639692"
"249"," >50K"," <=50K","0.807321772639692"
"250"," <=50K"," <=50K","0.809248554913295"
"251"," <=50K"," <=50K","0.809248554913295"
"252"," <=50K"," <=50K","0.809248554913295"
"253"," <=50K"," <=50K","0.809248554913295"
"254"," <=50K"," <=50K","0.809248554913295"
"255"," >50K"," <=50K","0.807321772639692"
"256"," >50K"," <=50K","0.807321772639692"
"257"," <=50K"," <=50K","0.807321772639692"
"258"," <=50K"," <=50K","0.807321772639692"
"259"," <=50K"," <=50K","0.807321772639692"
"260"," <=50K"," <=50K","0.807321772639692"
"261"," <=50K"," <=50K","0.809248554913295"
"262"," <=50K"," <=50K","0.807321772639692"
"263"," <=50K"," <=50K","0.807321772639692"
"264"," <=50K"," <=50K","0.809248554913295"
"265"," >50K"," <=50K","0.809248554913295"
"266"," >50K"," <=50K","0.807321772639692"
"267"," <=50K"," <=50K","0.807321772639692"
"268"," <=50K"," <=50K","0.809248554913295"
"269"," >50K"," <=50K","0.807321772639692"
"270"," <=50K"," <=50K","0.807321772639692"
"271"," <=50K"," <=50K","0.807321772639692"
"272"," <=50K"," <=50K","0.807321772639692"
"273"," <=50K"," <=50K","0.809248554913295"
"274"," <=50K"," <=50K","0.809248554913295"
"275"," <=50K"," <=50K","0.807321772639692"
"276"," <=50K"," <=50K","0.807321772639692"
"277"," <=50K"," <=50K","0.809248554913295"
"278"," <=50K"," <=50K","0.807321772639692"
"279"," <=50K"," <=50K","0.807321772639692"
"280"," >50K"," <=50K","0.809248554913295"
"281"," <=50K"," <=50K","0.807321772639692"
"282"," >50K"," <=50K","0.809248554913295"
"283"," <=50K"," <=50K","0.807321772639692"
"284"," <=50K"," <=50K","0.807321772639692"
"285"," >50K"," <=50K","0.807321772639692"
"286"," <=50K"," <=50K","0.807321772639692"
"287"," <=50K"," <=50K","0.809248554913295"
"288"," <=50K"," <=50K","0.809248554913295"
