"","1st","1-dist","2nd","2-dist","3rd","3-dist","4th","4-dist","5th","5-dist","6th","6-dist","7th","7-dist","8th","8-dist","9th","9-dist","10th","10-dist"
"78",53,-6.66133814775094e-16,87,0.4,148,-0.3,77,0.600000000000001,111,-0.4,134,0.700000000000001,124,0.7,55,1,117,-0.4,112,0.0999999999999999
"79",92,-0.199999999999999,64,-0.2,62,0.299999999999999,98,0.2,56,0.6,74,0.1,67,0.3,139,-0.7,97,0.8,127,-0.7
"80",82,0.2,81,4.44089209850063e-16,70,-0.299999999999999,65,-0.599999999999999,83,-0.8,93,-0.8,68,-0.799999999999999,90,-0.5,54,-0.3,100,-1.1
"81",82,0.2,70,-0.3,54,-0.3,90,-0.5,80,-4.44089209850063e-16,93,-0.8,83,-0.8,60,-0.4,68,-0.8,95,-1
"82",81,-0.2,70,-0.5,80,-0.2,54,-0.5,90,-0.7,93,-1,83,-1,68,-1,65,-0.8,63,-0.6
"83",93,0,100,-0.3,68,2.22044604925031e-16,70,0.5,72,-0.6,95,-0.2,90,0.3,97,-0.5,65,0.2,89,-0.399999999999999
"84",134,-0.299999999999999,102,-0.0999999999999996,143,-0.0999999999999996,150,-0.4,124,-0.3,128,-0.4,73,0.2,127,-0.2,139,-0.2,147,-0.3
"85",67,-0.199999999999999,56,0.1,97,0.3,89,0.400000000000001,95,0.6,91,0.7,96,0.3,100,0.500000000000001,62,-0.2,79,-0.5
"86",57,-0.4,71,-0.2,52,-0.100000000000001,92,0.400000000000001,79,0.6,62,0.899999999999999,139,-0.0999999999999999,67,0.9,64,0.4,128,-0.3
"87",53,-0.4,66,0.4,59,0.600000000000001,51,-0.3,76,0.600000000000001,77,0.200000000000001,78,-0.4,52,0.4,55,0.600000000000001,57,0.100000000000001
"88",69,-0.1,73,-0.9,63,1.1,55,-1.1,98,-0.4,75,-0.6,74,-0.5,72,0.100000000000001,59,-1.1,120,-0.4
"89",96,-0.100000000000001,97,-0.100000000000001,100,0.0999999999999996,95,0.199999999999999,62,-0.600000000000001,83,0.399999999999999,67,-0.6,56,-0.300000000000001,93,0.399999999999999,68,0.4
"90",54,0.2,70,0.2,81,0.5,95,-0.5,93,-0.3,100,-0.6,60,0.0999999999999999,83,-0.3,91,-0.4,82,0.7
"91",95,-0.0999999999999996,56,-0.6,97,-0.4,90,0.4,100,-0.199999999999999,68,0.100000000000001,96,-0.4,93,0.100000000000001,54,0.600000000000001,67,-0.899999999999999
"92",64,-4.44089209850063e-16,79,0.199999999999999,74,0.3,98,0.399999999999999,52,-0.500000000000001,57,-0.800000000000001,75,0.199999999999999,62,0.499999999999999,139,-0.500000000000001,55,-0.3
"93",83,0,68,2.22044604925031e-16,100,-0.3,70,0.5,95,-0.2,90,0.3,72,-0.6,97,-0.5,81,0.8,54,0.5
"94",58,-4.44089209850063e-16,61,0.0999999999999996,99,-0.1,82,-1,81,-1.2,80,-1.2,60,-1.6,70,-1.5,54,-1.5,90,-1.7
"95",100,-0.0999999999999996,97,-0.3,91,0.0999999999999996,90,0.5,89,-0.199999999999999,93,0.2,56,-0.5,96,-0.3,68,0.2,83,0.2
"96",97,0,89,0.100000000000001,100,0.200000000000001,95,0.3,62,-0.5,56,-0.2,68,0.500000000000001,83,0.5,67,-0.499999999999999,93,0.5
"97",96,0,100,0.200000000000001,89,0.100000000000001,95,0.3,62,-0.5,56,-0.2,93,0.5,68,0.500000000000001,67,-0.499999999999999,83,0.5
"98",75,-0.2,72,0.5,92,-0.399999999999999,79,-0.2,62,0.0999999999999994,64,-0.4,76,-0.7,74,-0.0999999999999996,52,-0.900000000000001,55,-0.7
"99",58,0.0999999999999996,94,0.1,61,0.2,80,-1.1,82,-0.9,65,-1.7,81,-1.1,60,-1.5,70,-1.4,90,-1.6
"100",97,-0.200000000000001,95,0.0999999999999996,89,-0.0999999999999996,96,-0.200000000000001,83,0.3,93,0.3,68,0.3,62,-0.700000000000001,90,0.6,56,-0.4
"101",137,0.4,145,-0.100000000000001,105,0.6,144,-0.100000000000001,141,0.3,125,0.299999999999999,149,0.799999999999999,121,-8.88178419700125e-16,133,1.1,116,0.899999999999999
"102",143,0,114,0.299999999999999,122,0.2,150,-0.3,84,0.0999999999999996,128,-0.3,139,-0.1,115,-0.6,127,-0.1,124,-0.200000000000001
"103",126,-0.1,121,-4.44089209850063e-16,144,-0.1,131,-0.0999999999999996,113,0.7,130,0.5,125,0.3,108,-0.2,140,0.599999999999999,141,0.3
"104",117,-0.200000000000001,138,-0.200000000000001,129,-0.3,112,0.299999999999999,133,-0.400000000000001,148,-0.100000000000001,105,-0.900000000000001,135,0.9,134,0.9,113,-0.8
"105",133,0.5,129,0.6,141,-0.3,125,-0.3,144,-0.7,113,0.1,121,-0.600000000000001,145,-0.7,117,0.7,104,0.900000000000001
"106",123,0.0999999999999992,108,1,136,0.2,119,-0.200000000000001,131,1.1,126,1.1,118,-1.1,103,1.2,132,-0.800000000000001,110,-0.100000000000001
"107",85,-0.8,60,0.4,91,-0.1,90,0.3,67,-0.999999999999999,95,-0.2,54,0.5,122,-1.7,56,-0.7,114,-1.6
"108",131,0.0999999999999999,126,0.0999999999999992,106,-1,103,0.2,130,0.7,123,-0.900000000000001,136,-0.8,144,0.0999999999999994,109,1.5,121,0.199999999999999
"109",129,-0.0999999999999999,104,0.200000000000001,117,0,133,-0.2,112,0.5,113,-0.6,105,-0.7,103,-1.3,138,-4.44089209850063e-16,130,-0.8
"110",144,1.2,121,1.3,145,1.2,103,1.3,136,0.3,125,1.6,126,1.2,118,-1,141,1.6,132,-0.700000000000001
"111",148,0.0999999999999996,116,-0.4,78,0.4,146,-0.4,138,-6.66133814775094e-16,117,-2.22044604925031e-16,142,-0.6,140,-0.700000000000001,128,1,113,-0.6
"112",148,-0.4,129,-0.6,147,0.600000000000001,104,-0.299999999999999,117,-0.5,124,0.6,133,-0.7,138,-0.5,134,0.600000000000001,84,0.9
"113",140,-0.100000000000001,141,-0.4,121,-0.700000000000001,146,0.2,125,-0.4,117,0.6,105,-0.1,148,0.7,129,0.5,133,0.4
"114",102,-0.299999999999999,143,-0.299999999999999,122,-0.0999999999999996,115,-0.899999999999999,84,-0.2,150,-0.6,147,-0.5,127,-0.4,139,-0.4,120,0.5
"115",122,0.799999999999999,102,0.6,143,0.6,114,0.899999999999999,150,0.299999999999999,128,0.299999999999999,139,0.499999999999999,116,-1.1,147,0.399999999999999,127,0.499999999999999
"116",149,-0.1,111,0.4,146,0,148,0.5,137,-0.499999999999999,141,-0.6,133,0.2,113,-0.2,129,0.3,138,0.4
"117",138,-4.44089209850063e-16,104,0.200000000000001,148,0.0999999999999999,112,0.5,129,-0.0999999999999999,113,-0.6,133,-0.2,111,2.22044604925031e-16,105,-0.7,125,-1
"118",132,0.3,106,1.1,110,1,136,1.3,123,1.2,126,2.2,108,2.1,119,0.9,131,2.2,103,2.3
"119",123,0.3,106,0.200000000000001,136,0.400000000000001,108,1.2,131,1.3,118,-0.9,103,1.4,126,1.3,132,-0.6,110,0.100000000000001
"120",73,-0.5,84,-0.7,69,0.3,147,-1,114,-0.5,124,-1,134,-0.999999999999999,102,-0.799999999999999,143,-0.799999999999999,88,0.4
"121",144,-0.0999999999999996,141,0.300000000000001,125,0.3,145,-0.0999999999999996,113,0.700000000000001,140,0.6,103,4.44089209850063e-16,105,0.600000000000001,146,0.9,142,0.700000000000001
"122",102,-0.2,143,-0.2,114,0.0999999999999996,150,-0.5,115,-0.799999999999999,139,-0.3,71,-0.400000000000001,128,-0.5,84,-0.1,127,-0.3
"123",106,-0.0999999999999992,119,-0.3,108,0.900000000000001,131,1,136,0.100000000000001,126,1,118,-1.2,103,1.1,132,-0.9,130,1.6
"124",127,0.100000000000001,147,6.66133814775094e-16,128,-0.0999999999999996,73,0.5,134,1.11022302462516e-15,84,0.3,112,-0.6,139,0.100000000000001,55,0.300000000000001,148,-1
"125",121,-0.3,144,-0.4,113,0.4,141,4.44089209850063e-16,105,0.3,145,-0.4,140,0.299999999999999,138,1,117,1,137,0.100000000000001
"126",130,0.6,103,0.1,108,-0.0999999999999992,131,6.66133814775094e-16,144,2.22044604925031e-16,121,0.0999999999999999,125,0.4,113,0.8,140,0.7,136,-0.899999999999999
"127",124,-0.100000000000001,128,-0.2,139,0,147,-0.0999999999999999,84,0.2,134,-0.0999999999999994,64,0.5,73,0.4,150,-0.2,55,0.2
"128",139,0.2,127,0.2,150,0,71,0.0999999999999996,124,0.0999999999999996,84,0.4,134,0.100000000000001,57,-0.0999999999999999,64,0.7,102,0.3
"129",133,-0.1,105,-0.6,104,0.3,112,0.6,117,0.0999999999999999,138,0.0999999999999994,113,-0.5,148,0.2,141,-0.9,116,-0.3
"130",126,-0.6,131,-0.6,103,-0.5,108,-0.7,113,0.2,140,0.0999999999999992,109,0.8,125,-0.2,117,0.8,121,-0.5
"131",108,-0.0999999999999999,103,0.0999999999999996,126,-6.66133814775094e-16,130,0.6,136,-0.9,106,-1.1,123,-1,109,1.4,144,-4.44089209850063e-16,121,0.0999999999999992
"132",118,-0.3,106,0.800000000000001,136,1,110,0.700000000000001,126,1.9,123,0.9,108,1.8,131,1.9,103,2,130,2.5
"133",129,0.1,105,-0.5,104,0.400000000000001,112,0.7,113,-0.4,141,-0.8,117,0.2,148,0.3,116,-0.2,138,0.2
"134",84,0.299999999999999,73,0.499999999999999,124,-1.11022302462516e-15,127,0.0999999999999994,128,-0.100000000000001,64,0.6,112,-0.600000000000001,78,-0.700000000000001,147,-4.44089209850063e-16,74,0.9
"135",104,-0.9,84,0.299999999999999,134,0,112,-0.600000000000001,117,-1.1,138,-1.1,120,0.999999999999999,73,0.499999999999999,109,-1.1,102,0.2
"136",131,0.9,106,-0.2,103,1,108,0.8,123,-0.100000000000001,126,0.899999999999999,110,-0.3,119,-0.400000000000001,130,1.5,121,0.999999999999999
"137",149,0.399999999999999,116,0.499999999999999,101,-0.4,145,-0.500000000000001,141,-0.100000000000001,125,-0.100000000000001,105,0.199999999999999,144,-0.500000000000001,133,0.699999999999999,121,-0.400000000000001
"138",117,4.44089209850063e-16,104,0.200000000000001,148,0.1,129,-0.0999999999999994,112,0.5,111,6.66133814775094e-16,113,-0.599999999999999,125,-1,133,-0.2,105,-0.7
"139",128,-0.2,71,-0.100000000000001,127,0,150,-0.2,124,-0.100000000000001,79,0.7,64,0.5,92,0.500000000000001,84,0.2,57,-0.3
"140",113,0.100000000000001,146,0.300000000000001,142,0.100000000000001,121,-0.6,141,-0.299999999999999,125,-0.299999999999999,148,0.800000000000001,117,0.700000000000001,111,0.700000000000001,103,-0.599999999999999
"141",145,-0.4,121,-0.300000000000001,113,0.4,144,-0.4,105,0.3,125,-4.44089209850063e-16,140,0.299999999999999,146,0.6,116,0.6,133,0.8
"142",146,0.2,140,-0.100000000000001,113,0,111,0.6,148,0.7,116,0.2,141,-0.4,121,-0.700000000000001,78,1,125,-0.4
"143",143,0,114,0.299999999999999,122,0.2,150,-0.3,84,0.0999999999999996,128,-0.3,139,-0.1,115,-0.6,127,-0.1,124,-0.200000000000001
"144",121,0.0999999999999996,125,0.4,145,0,141,0.4,105,0.7,103,0.1,113,0.8,101,0.100000000000001,140,0.699999999999999,137,0.500000000000001
"145",141,0.4,121,0.0999999999999996,144,0,125,0.4,137,0.500000000000001,105,0.7,101,0.100000000000001,113,0.8,116,1,140,0.699999999999999
"146",142,-0.2,148,0.5,140,-0.300000000000001,113,-0.2,116,0,141,-0.6,111,0.4,133,0.2,129,0.3,121,-0.9
"147",124,-6.66133814775094e-16,112,-0.600000000000001,127,0.0999999999999999,73,0.5,84,0.3,134,4.44089209850063e-16,102,0.2,143,0.2,128,-0.1,120,1
"148",111,-0.0999999999999996,112,0.4,117,-0.0999999999999999,146,-0.5,116,-0.5,138,-0.1,78,0.3,113,-0.7,129,-0.2,140,-0.800000000000001
"149",137,-0.399999999999999,116,0.1,111,0.5,148,0.6,141,-0.5,125,-0.5,138,0.5,145,-0.9,105,-0.2,101,-0.799999999999999
"150",128,0,139,0.2,102,0.3,143,0.3,71,0.0999999999999996,84,0.4,122,0.5,127,0.2,124,0.0999999999999996,134,0.100000000000001
